web-scraper-order,web-scraper-start-url,Games,Games-href,HomeTeam,AwayTeam,League,Date,HGoals,AGoals,HxG,AxG,HShots,AShots,HST,AST,HDEEP,ADEEP,HPPDA,APPDA,HxPTS,AxPTS
"1595328034-688","https://understat.com/league/Bundesliga","213.041.00","https://understat.com/match/12522","Bayer Leverkusen","Schalke 04","Bundesliga","Dec 07 2019","2","1","3.04","1.00","19","5","9","3","9","2","5.85","7.75","2.63","0.26"
"1595326717-100","https://understat.com/league/RFPL","011.290.69","https://understat.com/match/11122","FC Orenburg","Krylya Sovetov Samara","RFPL","Oct 20 2019","0","1","1.29","0.69","28","14","9","6","12","1","9.38","18.00","1.81","0.89"
"1595326909-189","https://understat.com/league/RFPL","212.970.31","https://understat.com/match/11207","Zenit St. Petersburg","Krylya Sovetov Samara","RFPL","Jun 26 2020","2","1","2.97","0.31","26","6","6","1","21","0","9.88","11.17","2.89","0.06"
"1595328486-884","https://understat.com/league/EPL","051.203.18","https://understat.com/match/11644","West Ham","Manchester City","EPL","Aug 10 2019","0","5","1.20","3.18","5","14","3","9","1","9","16.40","6.94","0.25","2.63"
"1595327334-374","https://understat.com/league/Serie_A","312.261.47","https://understat.com/match/13232","Lazio","Juventus","Serie A","Dec 07 2019","3","1","2.26","1.47","18","9","9","4","6","8","18.58","8.15","2.01","0.72"
"1595329289-1246","https://understat.com/league/La_liga","441.931.97","https://understat.com/match/12028","Villarreal","Granada","La liga","Aug 17 2019","4","4","1.93","1.97","12","14","7","7","6","2","8.43","12.83","1.33","1.39"
"1595329015-1132","https://understat.com/league/EPL","120.690.89","https://understat.com/match/11901","Southampton","Burnley","EPL","Feb 15 2020","1","2","0.69","0.89","10","9","2","6","6","2","7.44","9.92","1.11","1.55"
"1595326963-214","https://understat.com/league/RFPL","101.150.62","https://understat.com/match/11235","Rubin Kazan","FC Krasnodar","RFPL","Jul 09 2020","1","0","1.15","0.62","14","19","7","7","4","7","19.07","6.81","1.82","0.87"
"1595327938-643","https://understat.com/league/Bundesliga","000.960.74","https://understat.com/match/12480","Wolfsburg","Augsburg","Bundesliga","Oct 27 2019","0","0","0.96","0.74","14","10","3","5","7","5","7.13","10.65","1.54","1.12"
"1595329582-1379","https://understat.com/league/La_liga","120.481.68","https://understat.com/match/12157","Leganes","Barcelona","La liga","Nov 23 2019","1","2","0.48","1.68","9","11","4","6","1","4","12.65","4.32","0.42","2.37"
"1595329738-1453","https://understat.com/league/La_liga","311.920.92","https://understat.com/match/12241","Villarreal","Osasuna","La liga","Feb 02 2020","3","1","1.92","0.92","9","17","4","5","4","5","7.56","8.96","2.23","0.55"
"1595327415-412","https://understat.com/league/Serie_A","131.691.24","https://understat.com/match/13266","Napoli","Inter","Serie A","Jan 06 2020","1","3","1.69","1.24","19","14","7","8","10","4","17.15","9.59","1.70","1.01"
"1595327094-262","https://understat.com/league/Serie_A","141.383.07","https://understat.com/match/13124","Lecce","Napoli","Serie A","Sep 22 2019","1","4","1.38","3.07","10","21","3","10","6","7","21.94","12.15","0.29","2.58"
"1595327443-425","https://understat.com/league/Serie_A","210.891.25","https://understat.com/match/13288","Sassuolo","Torino","Serie A","Jan 18 2020","2","1","0.89","1.25","11","11","5","2","8","3","9.04","8.54","1.01","1.70"
"1595328722-995","https://understat.com/league/EPL","020.621.36","https://understat.com/match/11757","Norwich","Watford","EPL","Nov 08 2019","0","2","0.62","1.36","17","12","5","2","11","3","7.58","15.55","0.76","1.96"
"1595326747-114","https://understat.com/league/RFPL","111.780.73","https://understat.com/match/11138","Zenit St. Petersburg","CSKA Moscow","RFPL","Nov 02 2019","1","1","1.78","0.73","27","11","6","3","22","4","6.58","19.67","2.14","0.63"
"1595327496-450","https://understat.com/league/Serie_A","233.481.83","https://understat.com/match/13313","Napoli","Lecce","Serie A","Feb 09 2020","2","3","3.48","1.83","25","15","7","10","20","6","6.54","22.25","2.41","0.43"
"1595328949-1101","https://understat.com/league/EPL","111.301.02","https://understat.com/match/11867","Brighton","Aston Villa","EPL","Jan 18 2020","1","1","1.30","1.02","10","8","2","3","7","4","7.24","10.78","1.60","1.09"
"1595327379-395","https://understat.com/league/Serie_A","141.411.73","https://understat.com/match/13250","Fiorentina","Roma","Serie A","Dec 20 2019","1","4","1.41","1.73","12","13","4","6","3","10","10.73","7.08","1.10","1.62"
"1595328277-802","https://understat.com/league/Bundesliga","222.250.44","https://understat.com/match/12645","FC Cologne","Fortuna Duesseldorf","Bundesliga","May 24 2020","2","2","2.25","0.44","15","10","6","4","1","5","5.48","12.96","2.71","0.18"
"1595328981-1116","https://understat.com/league/EPL","002.251.48","https://understat.com/match/11884","Burnley","Arsenal","EPL","Feb 02 2020","0","0","2.25","1.48","15","13","2","2","4","4","11.17","6.64","1.95","0.83"
"1595329449-1317","https://understat.com/league/La_liga","211.142.52","https://understat.com/match/12098","Osasuna","Villarreal","La liga","Oct 05 2019","2","1","1.14","2.52","16","16","4","5","10","5","13.44","14.47","0.47","2.35"
"1595328813-1038","https://understat.com/league/EPL","010.810.90","https://understat.com/match/11811","Southampton","West Ham","EPL","Dec 14 2019","0","1","0.81","0.90","11","11","2","4","7","8","7.72","11.95","1.28","1.38"
"1595326584-38","https://understat.com/league/RFPL","221.961.04","https://understat.com/match/11055","FC Orenburg","FC Tambov","RFPL","Aug 10 2019","2","2","1.96","1.04","22","9","10","5","3","3","9.74","13.33","2.05","0.73"
"1595329047-1147","https://understat.com/league/EPL","302.710.21","https://understat.com/match/11921","Watford","Liverpool","EPL","Feb 29 2020","3","0","2.71","0.21","14","7","5","1","6","12","33.18","11.55","2.89","0.06"
"1595327520-461","https://understat.com/league/Serie_A","010.291.12","https://understat.com/match/13321","Cagliari","Napoli","Serie A","Feb 16 2020","0","1","0.29","1.12","10","14","2","4","3","2","18.48","15.45","0.58","2.11"
"1595326582-37","https://understat.com/league/RFPL","102.070.97","https://understat.com/match/11056","FC Krasnodar","Rubin Kazan","RFPL","Aug 10 2019","1","0","2.07","0.97","14","13","2","2","8","1","9.63","7.58","2.22","0.56"
"1595328951-1102","https://understat.com/league/EPL","222.470.59","https://understat.com/match/11864","Manchester City","Crystal Palace","EPL","Jan 18 2020","2","2","2.47","0.59","25","5","6","3","23","2","4.92","29.50","2.62","0.25"
"1595329146-1192","https://understat.com/league/EPL","302.790.61","https://understat.com/match/11964","Chelsea","Watford","EPL","Jul 04 2020","3","0","2.79","0.61","21","7","9","3","9","3","11.19","25.24","2.74","0.17"
"1595329087-1164","https://understat.com/league/EPL","000.620.66","https://understat.com/match/11940","Everton","Liverpool","EPL","Jun 21 2020","0","0","0.62","0.66","9","10","3","3","1","10","18.47","3.97","1.27","1.32"
"1595326576-34","https://understat.com/league/RFPL","404.590.90","https://understat.com/match/11059","Lokomotiv Moscow","Ural","RFPL","Aug 11 2019","4","0","4.59","0.90","22","15","8","3","11","4","6.28","8.90","2.94","0.04"
"1595329439-1312","https://understat.com/league/La_liga","402.403.04","https://understat.com/match/12093","Barcelona","Sevilla","La liga","Oct 06 2019","4","0","2.40","3.04","15","16","8","4","5","8","10.52","11.43","1.00","1.80"
"1595327360-386","https://understat.com/league/Serie_A","121.881.29","https://understat.com/match/13247","Napoli","Parma Calcio 1913","Serie A","Dec 14 2019","1","2","1.88","1.29","33","7","8","4","13","5","5.70","25.13","1.76","0.99"
"1595329500-1341","https://understat.com/league/La_liga","120.161.03","https://understat.com/match/12135","Granada","Real Sociedad","La liga","Nov 03 2019","1","2","0.16","1.03","5","9","3","5","1","5","14.25","5.33","0.48","2.19"
"1595329715-1442","https://understat.com/league/La_liga","010.190.55","https://understat.com/match/12232","Real Valladolid","Real Madrid","La liga","Jan 26 2020","0","1","0.19","0.55","4","12","0","3","4","3","18.11","5.91","0.84","1.64"
"1595329814-1489","https://understat.com/league/La_liga","100.130.37","https://understat.com/match/12267","Celta Vigo","Leganes","La liga","Feb 22 2020","1","0","0.13","0.37","3","11","1","2","1","7","10.33","5.74","0.89","1.48"
"1595328654-963","https://understat.com/league/EPL","212.971.32","https://understat.com/match/11723","Aston Villa","Brighton","EPL","Oct 19 2019","2","1","2.97","1.32","24","20","8","5","7","10","15.06","9.52","2.41","0.44"
"1595328237-783","https://understat.com/league/Bundesliga","122.421.04","https://understat.com/match/12605","Eintracht Frankfurt","Union Berlin","Bundesliga","Feb 24 2020","1","2","2.42","1.04","21","11","3","7","9","5","3.39","11.91","2.40","0.42"
"1595327712-551","https://understat.com/league/Serie_A","210.451.70","https://understat.com/match/13422","Genoa","Lecce","Serie A","Jul 19 2020","2","1","0.45","1.70","10","18","3","1","7","5","14.60","12.65","0.37","2.44"
"1595329420-1303","https://understat.com/league/La_liga","111.121.51","https://understat.com/match/12082","Celta Vigo","Espanyol","La liga","Sep 26 2019","1","1","1.12","1.51","14","10","3","4","9","7","8.70","15.20","1.04","1.67"
"1595327550-475","https://understat.com/league/Serie_A","101.230.26","https://understat.com/match/13325","AC Milan","Torino","Serie A","Feb 17 2020","1","0","1.23","0.26","15","9","1","1","10","3","6.33","8.92","2.25","0.47"
"1595326539-17","https://understat.com/league/RFPL","101.220.66","https://understat.com/match/11045","CSKA Moscow","Lokomotiv Moscow","RFPL","Jul 28 2019","1","0","1.22","0.66","13","10","4","1","4","6","6.16","8.45","1.92","0.77"
"1595327571-485","https://understat.com/league/Serie_A","302.120.47","https://understat.com/match/13347","Sassuolo","Brescia","Serie A","Mar 09 2020","3","0","2.12","0.47","20","10","7","4","12","2","6.64","18.76","2.55","0.30"
"1595329351-1273","https://understat.com/league/La_liga","110.792.68","https://understat.com/match/12062","Real Valladolid","Osasuna","La liga","Sep 15 2019","1","1","0.79","2.68","11","17","1","5","3","10","10.70","10.05","0.22","2.67"
"1595330016-1584","https://understat.com/league/La_liga","100.761.17","https://understat.com/match/12378","Atletico Madrid","Real Betis","La liga","Jul 11 2020","1","0","0.76","1.17","9","21","4","3","4","9","11.81","12.63","1.00","1.68"
"1595326886-179","https://understat.com/league/RFPL","041.232.47","https://understat.com/match/11200","CSKA Moscow","Zenit St. Petersburg","RFPL","Jun 20 2020","0","4","1.23","2.47","25","15","4","8","9","10","7.52","18.36","0.50","2.32"
"1595329227-1230","https://understat.com/league/EPL","020.571.90","https://understat.com/match/11996","Crystal Palace","Manchester United","EPL","Jul 16 2020","0","2","0.57","1.90","13","17","5","5","7","8","11.66","7.92","0.45","2.36"
"1595327404-407","https://understat.com/league/Serie_A","102.061.29","https://understat.com/match/13270","Fiorentina","SPAL 2013","Serie A","Jan 12 2020","1","0","2.06","1.29","17","9","4","1","4","2","13.08","14.23","1.93","0.82"
"1595329677-1424","https://understat.com/league/La_liga","121.011.29","https://understat.com/match/12209","Real Sociedad","Villarreal","La liga","Jan 05 2020","1","2","1.01","1.29","10","14","2","2","9","12","8.43","10.93","1.05","1.60"
"1595329045-1146","https://understat.com/league/EPL","112.411.13","https://understat.com/match/11916","Everton","Manchester United","EPL","Mar 01 2020","1","1","2.41","1.13","16","14","5","5","5","7","8.38","9.12","2.29","0.52"
"1595328675-973","https://understat.com/league/EPL","303.190.98","https://understat.com/match/11737","Manchester City","Aston Villa","EPL","Oct 26 2019","3","0","3.19","0.98","25","11","9","5","18","3","8.08","26.70","2.66","0.24"
"1595329380-1286","https://understat.com/league/La_liga","422.710.73","https://understat.com/match/12071","Getafe","Mallorca","La liga","Sep 22 2019","4","2","2.71","0.73","14","7","5","3","13","1","6.85","5.17","2.69","0.20"
"1595329093-1167","https://understat.com/league/EPL","020.360.79","https://understat.com/match/11942","Bournemouth","Crystal Palace","EPL","Jun 20 2020","0","2","0.36","0.79","12","7","1","2","6","4","9.00","9.79","0.83","1.78"
"1595328728-998","https://understat.com/league/EPL","030.902.66","https://understat.com/match/11771","Watford","Burnley","EPL","Nov 23 2019","0","3","0.90","2.66","13","11","3","5","5","2","5.95","11.63","0.28","2.61"
"1595328565-921","https://understat.com/league/EPL","011.881.58","https://understat.com/match/11686","Sheffield United","Southampton","EPL","Sep 14 2019","0","1","1.88","1.58","17","11","4","7","8","7","12.52","12.82","1.58","1.17"
"1595329311-1256","https://understat.com/league/La_liga","110.270.45","https://understat.com/match/12038","Getafe","Athletic Club","La liga","Aug 24 2019","1","1","0.27","0.45","6","4","2","2","4","2","7.00","5.42","0.98","1.50"
"1595328987-1119","https://understat.com/league/EPL","230.922.70","https://understat.com/match/11891","Watford","Everton","EPL","Feb 01 2020","2","3","0.92","2.70","11","12","2","5","2","5","9.24","8.29","0.24","2.64"
"1595329342-1269","https://understat.com/league/La_liga","221.730.36","https://understat.com/match/12043","Osasuna","Barcelona","La liga","Aug 31 2019","2","2","1.73","0.36","15","8","5","4","5","2","12.00","4.10","2.53","0.30"
"1595327045-239","https://understat.com/league/Serie_A","131.701.21","https://understat.com/match/13108","Udinese","Parma Calcio 1913","Serie A","Sep 01 2019","1","3","1.70","1.21","23","8","11","3","5","6","13.29","9.97","1.69","1.03"
"1595329630-1402","https://understat.com/league/La_liga","121.741.63","https://understat.com/match/12191","Sevilla","Villarreal","La liga","Dec 15 2019","1","2","1.74","1.63","24","9","5","3","12","4","5.52","30.73","1.44","1.30"
"1595330012-1582","https://understat.com/league/La_liga","121.100.98","https://understat.com/match/12374","Levante","Athletic Club","La liga","Jul 12 2020","1","2","1.10","0.98","5","12","1","5","2","1","9.35","10.04","1.54","1.09"
"1595328333-828","https://understat.com/league/Bundesliga","010.620.77","https://understat.com/match/12652","Borussia Dortmund","Bayern Munich","Bundesliga","May 26 2020","0","1","0.62","0.77","13","11","5","5","8","6","18.44","9.84","1.15","1.47"
"1595328432-874","https://understat.com/league/Bundesliga","101.880.35","https://understat.com/match/12701","Bayer Leverkusen","Mainz 05","Bundesliga","Jun 27 2020","1","0","1.88","0.35","13","6","2","1","14","2","5.47","23.05","2.56","0.28"
"1595328094-716","https://understat.com/league/Bundesliga","113.001.73","https://understat.com/match/12541","Wolfsburg","Schalke 04","Bundesliga","Dec 18 2019","1","1","3.00","1.73","29","8","11","2","13","8","8.08","6.42","2.24","0.57"
"1595327729-559","https://understat.com/league/Serie_A","301.421.07","https://understat.com/match/13411","Torino","Genoa","Serie A","Jul 16 2020","3","0","1.42","1.07","12","14","5","5","3","4","8.71","7.88","1.70","1.01"
"1595328006-675","https://understat.com/league/Bundesliga","040.443.82","https://understat.com/match/12505","Fortuna Duesseldorf","Bayern Munich","Bundesliga","Nov 23 2019","0","4","0.44","3.82","13","17","1","5","3","14","32.38","5.57","0.03","2.95"
"1595329559-1369","https://understat.com/league/La_liga","302.850.28","https://understat.com/match/12143","Alaves","Real Valladolid","La liga","Nov 09 2019","3","0","2.85","0.28","14","7","5","1","7","2","7.96","7.76","2.93","0.04"
"1595328482-882","https://understat.com/league/EPL","300.911.09","https://understat.com/match/11646","Burnley","Southampton","EPL","Aug 10 2019","3","0","0.91","1.09","10","11","4","3","0","9","9.28","5.50","1.14","1.51"
"1595326514-5","https://understat.com/league/RFPL","100.891.81","https://understat.com/match/11025","Spartak Moscow","PFC Sochi","RFPL","Jul 13 2019","1","0","0.89","1.81","15","16","5","5","2","3","8.10","8.45","0.62","2.14"
"1595328580-928","https://understat.com/league/EPL","110.981.76","https://understat.com/match/11697","Crystal Palace","Wolverhampton Wanderers","EPL","Sep 22 2019","1","1","0.98","1.76","13","13","4","4","6","5","13.95","12.52","0.76","1.99"
"1595328772-1019","https://understat.com/league/EPL","141.244.03","https://understat.com/match/11793","Aston Villa","Leicester","EPL","Dec 08 2019","1","4","1.24","4.03","15","23","2","8","12","17","8.67","4.30","0.13","2.80"
"1595327916-633","https://understat.com/league/Bundesliga","200.970.86","https://understat.com/match/12473","Hoffenheim","Schalke 04","Bundesliga","Oct 20 2019","2","0","0.97","0.86","9","11","3","1","1","14","8.66","6.06","1.47","1.17"
"1595330071-1610","https://understat.com/league/La_liga","121.221.09","https://understat.com/match/12391","Mallorca","Granada","La liga","Jul 16 2020","1","2","1.22","1.09","18","14","5","6","3","9","9.50","7.00","1.45","1.25"
"1595327323-369","https://understat.com/league/Serie_A","011.190.60","https://understat.com/match/13234","Sampdoria","Parma Calcio 1913","Serie A","Dec 08 2019","0","1","1.19","0.60","20","9","3","1","4","4","7.46","19.50","1.85","0.84"
"1595328137-736","https://understat.com/league/Bundesliga","021.991.80","https://understat.com/match/12572","Freiburg","Paderborn","Bundesliga","Jan 25 2020","0","2","1.99","1.80","19","17","5","3","7","2","6.00","14.33","1.49","1.25"
"1595326563-28","https://understat.com/league/RFPL","000.580.84","https://understat.com/match/11049","Spartak Moscow","Dinamo Moscow","RFPL","Aug 03 2019","0","0","0.58","0.84","12","25","3","5","0","12","20.93","3.83","1.09","1.55"
"1595327077-254","https://understat.com/league/Serie_A","341.143.69","https://understat.com/match/13109","Brescia","Bologna","Serie A","Sep 15 2019","3","4","1.14","3.69","9","22","6","8","5","10","14.81","4.21","0.13","2.79"
"1595327590-494","https://understat.com/league/Serie_A","311.950.53","https://understat.com/match/13364","Napoli","SPAL 2013","Serie A","Jun 28 2020","3","1","1.95","0.53","17","6","8","3","7","2","10.86","22.48","2.42","0.39"
"1595328162-748","https://understat.com/league/Bundesliga","503.290.56","https://understat.com/match/12574","Borussia Dortmund","Union Berlin","Bundesliga","Feb 01 2020","5","0","3.29","0.56","13","5","7","0","7","0","14.63","19.61","2.89","0.07"
"1595327454-430","https://understat.com/league/Serie_A","303.260.46","https://understat.com/match/13298","Verona","Lecce","Serie A","Jan 26 2020","3","0","3.26","0.46","12","4","5","0","11","4","6.00","24.87","2.91","0.05"
"1595329590-1383","https://understat.com/league/La_liga","241.563.04","https://understat.com/match/12167","Espanyol","Osasuna","La liga","Dec 01 2019","2","4","1.56","3.04","12","14","5","8","3","4","6.29","10.86","0.44","2.39"
"1595327182-303","https://understat.com/league/Serie_A","201.150.92","https://understat.com/match/13160","Cagliari","SPAL 2013","Serie A","Oct 20 2019","2","0","1.15","0.92","16","12","5","5","3","4","10.00","9.88","1.55","1.14"
"1595329127-1183","https://understat.com/league/EPL","010.380.65","https://understat.com/match/11948","Norwich","Everton","EPL","Jun 24 2020","0","1","0.38","0.65","9","12","1","5","2","1","14.09","10.50","0.99","1.57"
"1595328490-886","https://understat.com/league/EPL","111.230.95","https://understat.com/match/11661","Chelsea","Leicester","EPL","Aug 18 2019","1","1","1.23","0.95","14","12","5","3","4","5","10.58","6.30","1.62","1.08"
"1595328548-913","https://understat.com/league/EPL","222.311.05","https://understat.com/match/11675","Chelsea","Sheffield United","EPL","Aug 31 2019","2","2","2.31","1.05","13","8","5","2","4","5","14.88","20.92","2.28","0.53"
"1595329363-1278","https://understat.com/league/La_liga","202.091.07","https://understat.com/match/12061","Real Sociedad","Atletico Madrid","La liga","Sep 14 2019","2","0","2.09","1.07","13","12","4","2","6","14","9.57","14.37","2.18","0.61"
"1595328188-760","https://understat.com/league/Bundesliga","140.802.77","https://understat.com/match/12595","Fortuna Duesseldorf","Borussia M.Gladbach","Bundesliga","Feb 15 2020","1","4","0.80","2.77","9","17","4","6","6","5","12.21","14.15","0.28","2.60"
"1595328269-798","https://understat.com/league/Bundesliga","001.050.64","https://understat.com/match/12633","Fortuna Duesseldorf","Paderborn","Bundesliga","May 16 2020","0","0","1.05","0.64","10","7","1","1","5","1","13.58","17.33","1.72","0.93"
"1595327193-308","https://understat.com/league/Serie_A","120.562.01","https://understat.com/match/13171","Fiorentina","Lazio","Serie A","Oct 27 2019","1","2","0.56","2.01","11","12","3","7","2","5","17.44","8.17","0.32","2.53"
"1595328881-1070","https://understat.com/league/EPL","212.140.80","https://understat.com/match/11826","Crystal Palace","West Ham","EPL","Dec 26 2019","2","1","2.14","0.80","13","10","4","2","12","8","9.94","9.91","2.37","0.45"
"1595329912-1535","https://understat.com/league/La_liga","000.441.06","https://understat.com/match/12310","Real Valladolid","Celta Vigo","La liga","Jun 17 2020","0","0","0.44","1.06","6","11","1","4","1","6","9.86","8.50","0.63","2.07"
"1595327953-650","https://understat.com/league/Bundesliga","311.551.52","https://understat.com/match/12483","Mainz 05","FC Cologne","Bundesliga","Oct 25 2019","3","1","1.55","1.52","18","17","6","8","4","9","7.64","10.89","1.40","1.33"
"1595329176-1206","https://understat.com/league/EPL","211.820.69","https://understat.com/match/11990","Tottenham","Arsenal","EPL","Jul 12 2020","2","1","1.82","0.69","15","13","9","4","4","6","17.04","13.06","2.26","0.53"
"1595326903-187","https://understat.com/league/RFPL","021.461.74","https://understat.com/match/11212","Rubin Kazan","Lokomotiv Moscow","RFPL","Jun 27 2020","0","2","1.46","1.74","11","11","2","3","5","9","18.27","12.67","1.10","1.63"
"1595329937-1547","https://understat.com/league/La_liga","210.901.49","https://understat.com/match/12340","Osasuna","Leganes","La liga","Jun 27 2020","2","1","0.90","1.49","6","21","5","7","2","9","7.12","8.75","0.91","1.81"
"1595327400-405","https://understat.com/league/Serie_A","100.571.86","https://understat.com/match/13277","Torino","Bologna","Serie A","Jan 12 2020","1","0","0.57","1.86","7","17","1","4","1","7","5.68","3.05","0.44","2.37"
"1595327813-585","https://understat.com/league/Bundesliga","321.050.84","https://understat.com/match/12414","Hoffenheim","Werder Bremen","Bundesliga","Aug 24 2019","3","2","1.05","0.84","10","18","3","6","4","3","10.50","16.53","1.54","1.13"
"1595327321-368","https://understat.com/league/Serie_A","231.252.42","https://understat.com/match/13230","Bologna","AC Milan","Serie A","Dec 08 2019","2","3","1.25","2.42","11","12","4","7","2","6","5.97","7.54","0.51","2.28"
"1595328546-912","https://understat.com/league/EPL","101.410.30","https://understat.com/match/11676","Crystal Palace","Aston Villa","EPL","Aug 31 2019","1","0","1.41","0.30","22","10","5","2","13","5","9.00","9.04","2.28","0.48"
"1595328241-785","https://understat.com/league/Bundesliga","204.061.02","https://understat.com/match/12619","Bayern Munich","Augsburg","Bundesliga","Mar 08 2020","2","0","4.06","1.02","18","6","6","2","15","3","5.45","21.05","2.86","0.09"
"1595326713-98","https://understat.com/league/RFPL","113.400.45","https://understat.com/match/11120","Arsenal Tula","PFC Sochi","RFPL","Oct 20 2019","1","1","3.40","0.45","25","11","7","3","10","1","7.24","19.17","2.92","0.05"
"1595329004-1127","https://understat.com/league/EPL","110.760.28","https://understat.com/match/11895","Brighton","Watford","EPL","Feb 08 2020","1","1","0.76","0.28","10","5","2","2","7","3","7.15","15.36","1.81","0.77"
"1595329584-1380","https://understat.com/league/La_liga","211.841.41","https://understat.com/match/12158","Levante","Mallorca","La liga","Nov 22 2019","2","1","1.84","1.41","13","14","6","7","6","9","11.95","13.11","1.74","0.99"
"1595328650-961","https://understat.com/league/EPL","102.300.20","https://understat.com/match/11725","Chelsea","Newcastle United","EPL","Oct 19 2019","1","0","2.30","0.20","16","5","8","0","12","1","4.65","23.50","2.77","0.13"
"1595328030-686","https://understat.com/league/Bundesliga","010.831.52","https://understat.com/match/12525","Werder Bremen","Paderborn","Bundesliga","Dec 08 2019","0","1","0.83","1.52","12","15","3","5","10","4","9.11","8.93","0.78","1.93"
"1595328415-866","https://understat.com/league/Bundesliga","301.740.74","https://understat.com/match/12685","Borussia M.Gladbach","Wolfsburg","Bundesliga","Jun 16 2020","3","0","1.74","0.74","11","12","3","2","9","4","12.36","10.59","2.19","0.57"
"1595328785-1025","https://understat.com/league/EPL","120.971.53","https://understat.com/match/11783","Arsenal","Brighton","EPL","Dec 05 2019","1","2","0.97","1.53","12","20","5","9","6","4","13.94","8.39","0.94","1.80"
"1595329882-1521","https://understat.com/league/La_liga","202.120.48","https://understat.com/match/12301","Sevilla","Real Betis","La liga","Jun 11 2020","2","0","2.12","0.48","13","12","5","1","8","6","12.28","8.00","2.63","0.24"
"1595326811-144","https://understat.com/league/RFPL","230.621.98","https://understat.com/match/11170","Krylya Sovetov Samara","Ural","RFPL","Dec 08 2019","2","3","0.62","1.98","11","18","3","9","4","4","5.13","9.89","0.30","2.55"
"1595328864-1062","https://understat.com/league/EPL","111.480.14","https://understat.com/match/11840","Southampton","Crystal Palace","EPL","Dec 28 2019","1","1","1.48","0.14","14","5","5","2","4","2","5.41","19.36","2.53","0.28"
"1595329248-1240","https://understat.com/league/EPL","010.470.62","https://understat.com/match/12009","Sheffield United","Everton","EPL","Jul 20 2020","0","1","0.47","0.62","8","5","0","2","5","3","11.40","13.06","1.06","1.52"
"1595329132-1185","https://understat.com/league/EPL","202.240.83","https://understat.com/match/11944","Tottenham","West Ham","EPL","Jun 23 2020","2","0","2.24","0.83","15","10","4","2","8","3","11.64","17.05","2.42","0.41"
"1595326993-228","https://understat.com/league/RFPL","300.890.26","https://understat.com/match/11248","Spartak Moscow","FK Akhmat","RFPL","Jul 15 2020","3","0","0.89","0.26","16","9","4","2","8","0","12.45","15.47","1.94","0.68"
"1595327792-575","https://understat.com/league/Bundesliga","513.260.90","https://understat.com/match/12406","Borussia Dortmund","Augsburg","Bundesliga","Aug 17 2019","5","1","3.26","0.90","22","5","10","1","14","3","5.91","22.67","2.74","0.17"
"1595329967-1561","https://understat.com/league/La_liga","140.962.75","https://understat.com/match/12361","Villarreal","Barcelona","La liga","Jul 05 2020","1","4","0.96","2.75","10","18","4","12","8","22","29.22","10.32","0.33","2.53"
"1595327725-557","https://understat.com/league/Serie_A","111.441.75","https://understat.com/match/13428","Verona","Atalanta","Serie A","Jul 18 2020","1","1","1.44","1.75","15","21","8","7","3","8","8.76","6.23","1.14","1.60"
"1595327890-621","https://understat.com/league/Bundesliga","230.283.47","https://understat.com/match/12449","Paderborn","Bayern Munich","Bundesliga","Sep 28 2019","2","3","0.28","3.47","10","18","5","6","2","17","16.80","9.86","0.04","2.93"
"1595329345-1270","https://understat.com/league/La_liga","201.160.22","https://understat.com/match/12047","Athletic Club","Real Sociedad","La liga","Aug 30 2019","2","0","1.16","0.22","15","2","5","2","5","5","9.09","8.28","2.25","0.45"
"1595329628-1401","https://understat.com/league/La_liga","112.291.97","https://understat.com/match/12192","Valencia","Real Madrid","La liga","Dec 15 2019","1","1","2.29","1.97","9","19","6","6","2","10","26.07","10.73","1.64","1.11"
"1595330001-1577","https://understat.com/league/La_liga","221.811.78","https://understat.com/match/12344","Barcelona","Atletico Madrid","La liga","Jun 30 2020","2","2","1.81","1.78","12","10","5","3","4","3","8.59","16.48","1.33","1.35"
"1595329407-1297","https://understat.com/league/La_liga","000.820.38","https://understat.com/match/12085","Atletico Madrid","Real Madrid","La liga","Sep 28 2019","0","0","0.82","0.38","7","14","1","3","4","4","14.00","9.19","1.78","0.84"
"1595328103-720","https://understat.com/league/Bundesliga","301.460.76","https://understat.com/match/12545","Augsburg","Fortuna Duesseldorf","Bundesliga","Dec 17 2019","3","0","1.46","0.76","12","6","7","2","5","0","11.71","10.87","1.96","0.75"
"1595328700-985","https://understat.com/league/EPL","101.870.64","https://understat.com/match/11745","Bournemouth","Manchester United","EPL","Nov 02 2019","1","0","1.87","0.64","12","15","6","4","3","4","8.26","8.50","2.38","0.43"
"1595327460-433","https://understat.com/league/Serie_A","111.700.83","https://understat.com/match/13291","Inter","Cagliari","Serie A","Jan 26 2020","1","1","1.70","0.83","18","13","5","2","12","1","11.19","16.00","2.02","0.74"
"1595328348-835","https://understat.com/league/Bundesliga","240.772.65","https://understat.com/match/12666","Bayer Leverkusen","Bayern Munich","Bundesliga","Jun 06 2020","2","4","0.77","2.65","10","16","6","10","3","11","12.55","11.35","0.31","2.57"
"1595327533-467","https://understat.com/league/Serie_A","030.571.72","https://understat.com/match/13320","Bologna","Genoa","Serie A","Feb 15 2020","0","3","0.57","1.72","16","7","4","5","6","3","7.24","11.59","0.41","2.39"
"1595328171-752","https://understat.com/league/Bundesliga","111.030.56","https://understat.com/match/12591","Schalke 04","Paderborn","Bundesliga","Feb 08 2020","1","1","1.03","0.56","15","15","4","4","15","4","4.29","14.77","1.75","0.91"
